Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,,,,,,,title,,
1967,,,,,,,,,First known network breach,"The first known incidence of network penetration hacking took place when members of a computer club at a suburban Chicago area high school were provided access to IBM's APL network. In the Fall of 1967, IBM (through Science Research Associates) approached Evanston Township High School with the offer of four 2741 Selectric teletypewriter based terminals with dial-up modem connectivity to an experimental computer system which implemented an early version of the APL programming language. The APL network system was structured in Workspaces which were assigned to various clients using the system. Working independently, the students quickly learned the language and the system. They were free to explore the system, often using existing code available in public Workspaces as models for their own creations. Eventually, curiosity drove the students to explore the system's wider context. This first informal network penetration effort was later acknowledged as helping harden the security of one of the first publicly accessible networks:",https://i0.wp.com/evanstonroundtable.com/wp-content/uploads/2021/04/ETHS-front-of-bldg.-WEB-1.jpg?fit=1200%2C798&ssl=1,,,https://i0.wp.com/evanstonroundtable.com/wp-content/uploads/2021/04/ETHS-front-of-bldg.-WEB-1.jpg?fit=1200%2C798&ssl=1,,hack,#333333
1971,10,,,,,,,,Captain Crunch in Esquire,"John T. Draper (later nicknamed Captain Crunch), his friend Joe Engressia (also known as Joybubbles), and blue box phone phreaking hit the news with an Esquire magazine feature story. It should also be noted that John Draper has been accused of sexual impropriety by multiple people.",,,,,,culture,
1979,,,,,,,,,Mitnick Accesses DEC,"Kevin Mitnick breaks into his first major computer system, the Ark, the computer system Digital Equipment Corporation (DEC) used for developing their RSTS/E operating system software",,,,,,hack,#333333
1980,,,,,,,,,NCSS Hack,"The FBI investigates a breach of security at National CSS (NCSS). The New York Times, reporting on the incident in 1981, describes hackers as",,,,,,hack/government,
1981,9,12,,,,,,,Chaos Computer Club formed,,https://upload.wikimedia.org/wikipedia/en/0/06/Chaos_Computer_Club_%28logo%29.svg,,,https://upload.wikimedia.org/wikipedia/en/0/06/Chaos_Computer_Club_%28logo%29.svg,,culture,
1983,,,,,,,,,414 breach of LANL and Sloan-Kettering,"The 414s break into 60 computer systems at institutions ranging from the Los Alamos National Laboratory to Manhattan's Memorial Sloan-Kettering Cancer Center.[18] The incident appeared as the cover story of Newsweek with the title ""Beware: Hackers at play"".[19] As a result, the U.S. House of Representatives held hearings on computer security and passed several laws.",https://images.ctfassets.net/cnu0m8re1exe/6oubBOCbHa4UE3fOPQ922Q/ae06f1000d436944501cf69b7dbb42d6/The414s_NealPatrick_Cr-PatrickFamily.jpg?fm=jpg&fl=progressive&w=660&h=433&fit=fill,,Neil Patrick of the 414s,https://images.ctfassets.net/cnu0m8re1exe/6oubBOCbHa4UE3fOPQ922Q/ae06f1000d436944501cf69b7dbb42d6/The414s_NealPatrick_Cr-PatrickFamily.jpg?fm=jpg&fl=progressive&w=660&h=433&fit=fill,,hack/government,#333333
1983,5,1,,,,,,,Gerald Wondra (414s) sentenced,"Gerald Wondra of the 414s is sentenced for Unauthorized access to computers at the Sloan-Kettering Cancer Center in New York and a Los Angeles bank[73] and two counts of ""making harassing telephone calls""[74]",,,,,,law,
1983,,,,1990,,,,,KILOBAUD founded,https://en.wikipedia.org/wiki/P.H.I.R.M.,,,,,,crew,#333333
1986,,,,,,,,,CFAA passes,"The Computer Fraud and Abuse Act passes congress, consolidating and codifying a legal framework for legal action against electronic crimes",,,,,,law,
1983,6,3,,,,,,,Wargames movie released,"The movie Wargames starring Matthew Broderick is released, giving much of the US public its first glimpse at a hacker narrative, and raising eyebrows of US government leadership about the potential risks posed by hobbyist groups.",https://media1.sacurrent.com/sacurrent/imager/u/blog/24400162/screen_shot_2020-09-04_at_11.01.05_am.png?cb=1642780559,,,https://lh3.googleusercontent.com/tTR7oOHFRtaUpOGJt0mLNQBpmXpeYWYhXm0sh8DCR3WVM6VH6C63pFR-HRmC0H9R26GhpP48yWztRQ,,culture,#333333
1983,,,,,,,,,House of representatives hearings on computer hacking,The U.S. House of Representatives begins hearings on computer security hacking,,,,,,government,
1983,,,,,,,,,Trojan Horse described for the first time,"In his Turing Award lecture, Ken Thompson mentions ""hacking"" and describes a security exploit that he calls a ""Trojan horse""",,,,,,publication,#333333
1983,,,,,,,,,Legion Of Doom founded,"Someone calling himself Lex Luthor founds the Legion of Doom. Named after a Saturday morning cartoon, the LOD had the reputation of attracting ""the best of the best""—until one of the most talented members called Phiber Optik feuded with Legion of Doomer Erik Bloodaxe and got 'tossed out of the clubhouse'. Phiber's friends formed a rival group, the Masters of Deception.",,,,,,crew,
1984,,,,,,,,,CDC is formed,"The Cult of the Dead Cow is formed in Lubbock, Texas","https://res.cloudinary.com/practicaldev/image/fetch/s--Mq492tOB--/c_imagga_scale,f_auto,fl_progressive,h_420,q_auto,w_1000/https://orig00.deviantart.net/7620/f/2007/294/0/7/legion_of_doom_ansi_by_roy_sac.png",,,,,crew,#333333
1992,,,,2000,,,,,L0pht formed,,https://upload.wikimedia.org/wikipedia/en/6/68/Lopht_Logo.jpg,,,,,crew,
1984,,,,,,,,,2600 Magazine published,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_256,w_256,f_auto,q_auto:eco,dpr_1/v1419919278/wstic6jgvfo2133z1l39.png",,,,,publication,#333333
1985,11,17,,,,,,,Phrack Magazine published,,https://media-exp1.licdn.com/dms/image/C4E1BAQFwR5Nn2m93lw/company-background_10000/0/1519804209706?e=2159024400&v=beta&t=iFTNwaIxoINWn3C6E5_TJDaD0mAG2x5o0I8Fgnp3tkQ,,,,,publication,
1986,,,,,,,,,First UK arrests of hackers,"Robert Schifreen and Stephen Gold are convicted of accessing the Telecom Gold account belonging to the Duke of Edinburgh under the Forgery and Counterfeiting Act 1981 in the United Kingdom, the first conviction for illegally accessing a computer system. On appeal, the conviction is overturned as hacking is not within the legal definition of forgery",,,,,,law,#333333
1986,1,8,,,,,,,"The Mentor publishes ""The Hacker Manifesto""",,,,,,,publication,
1985,,,,,,,,,FBI BBS seizure,"The FBI, Secret Service, Middlesex County NJ Prosecutor's Office and various local law enforcement agencies execute seven search warrants concurrently across New Jersey on July 12, 1985, seizing equipment from BBS operators and users alike for ""complicity in computer theft"",[24] under a newly passed, and yet untested criminal statute.[25] This is famously known as the Private Sector Bust,[26] or the 2600 BBS Seizure,[27] and implicated the Private Sector BBS sysop, Store Manager (also a BBS sysop), Beowulf, Red Barchetta, The Vampire, the NJ Hack Shack BBS sysop, and the Treasure Chest BBS sysop.",,,,,,law,#333333
1986,5,7,,,,,,,The Sprinter sentenced,"Four counts of Illegal Computer Trespass to computers at: Microsoft, Sundstrand Data Control, Kenworth Truck Co. and Resources Conservation Co. (a Boeing subsidiary)[16]",,,,,,law,
1987,,,,,,,,,Christmas Tree Exec worm,"The Christmas Tree EXEC ""worm"" causes major disruption to the VNET, BITNET and EARN networks",,,,,,tool,#333333
1988,,,,,,,,,Morris Worm,"The Morris Worm. Graduate student Robert T. Morris, Jr. of Cornell University launches a worm on the government's ARPAnet (precursor to the Internet).[31][32] The worm spreads to 6,000 networked computers, clogging government and university systems. Robert Morris is dismissed from Cornell, sentenced to three years' probation, and fined $10,000",,,,,,tool,
1988,,,,,,,,,First National Bank heist,First National Bank of Chicago is the victim of $70 million computer theft,,,,,,law,#333333
1988,,,,,,,,,CERT created,The Critical Emergency Response Team is created by DARPA to address network security,,,,,,government,
1988,,,,,,,,,The Father Christmas worm,Father Christmas worm spreads over DECnet networks including NASA,,,,,,tool,#333333
1989,,,,,,,,,MONDO 2000 launches,"The 90's tech-lifestyle magazine for hackers launches in Berkeley, California",,,,,,publication,
1989,,,,,,,,,WANK worm,The WANK worm spreads over DECnet,,,,,,tool,#333333
1989,,,,,,,,,Hack-Tic launches,Dutch magazine Hack-Tic launches,,,,,,publication,
1989,,,,,,,,,Cukoo's Egg published,The Cukoo's Egg is published by Cliff Stoll,,,,,,culture,
1989,,,,,,,,,AIDS trojan ,"First instance of ransomware, that AIDS virus hits",,,,,,ransomware,
1990,,,,,,,,,Operation Sundevil,"Operation Sundevil introduced. After a prolonged sting investigation, Secret Service agents swoop down on organizers and prominent members of BBSs in 14 U.S. cities including the Legion of Doom, conducting early-morning raids and arrests. The arrests involve and are aimed at cracking down on credit-card theft and telephone and wire fraud. The result is a breakdown in the hacking community, with members informing on each other in exchange for immunity. The offices of Steve Jackson Games are also raided, and the role-playing sourcebook GURPS Cyberpunk is confiscated, possibly because the government fears it is a ""handbook for computer crime"". Legal battles arise that prompt the formation of the Electronic Frontier Foundation, including the trial of Knight Lightning.
Australian federal police tracking Realm members Phoenix, Electron and Nom are the first in the world to use a remote data intercept to gain evidence for a computer crime prosecution",,,,,,law,#333333
1990,,,,,,,,,AFP prosecutes Realm members,"Australian federal police tracking Realm members Phoenix, Electron and Nom are the first in the world to use a remote data intercept to gain evidence for a computer crime prosecution",,,,,,law,
1990,,,,,,,,,Computer Misuse Act of 1990,"The Computer Misuse Act 1990 is passed in the United Kingdom, criminalising any unauthorised access to computer systems",,,,,,law,#333333
1992,,,,,,,,,Sneakers movie released,the movie Sneakers is released in theaters,,,,,,culture,
1992,,,,,,,,,Early public ISP MindVox opens,One of the earliest publicly available ISPs becomes available for public consumers,,,,,,culture,#333333
1992,,,,,,,,,1260 written,"Bulgarian virus writer Dark Avenger wrote 1260, the first known use of polymorphic code, used to circumvent the type of pattern recognition used by antivirus software, and nowadays also intrusion detection systems",,,,,,tool,
1992,,,,,,,,,Dr. Ripco arrested ,"Publication of a hacking instruction manual for penetrating TRW credit reporting agency by Infinite Possibilities Society (IPS) gets Dr. Ripco, the sysop of Ripco BBS mentioned in the IPS manual, arrested by the United States Secret Service",,,,,,law,#333333
1993,,,,,,,,,First DEF CON,"the first DEF CON is held in Las Vegas. Originally meant to ""say good-bye to BBSs"", the gathering became an annual affair",,,,,,gathering,
1993,3,,,,,,,,AOL enables Usenet,,,,,,,culture,#333333
1993,,,,,,,,,Eternal September,"Eternal September is Usenet slang for a period beginning around 1993 when Internet service providers including Delphi[2] began offering Usenet access to many new users. The flood of new users overwhelmed the existing culture for online forums and the ability to enforce existing norms. AOL followed with their Usenet gateway service in March, 1994.[3] Since then, the popularity of the Internet has led to a constant stream of new users. Hence, from the early Usenet point of view, the influx of new users in September 1993 never ended. ",,,,,title,culture,https://en.wikipedia.org/wiki/Eternal_September
1994,,,,,,,,,Citibank heist,"Russian crackers siphon $10 million from Citibank and transfer the money to bank accounts around the world. Vladimir Levin, the 30-year-old ringleader, used his work laptop after hours to transfer the funds to accounts in Finland and Israel. Levin stands trial in the United States and is sentenced to three years in prison. Authorities recover all but $400,000 of the stolen money",,,,,,hack,#333333
1994,,,,,,,,,BBS migration,old information previously available in BBS begins migration to newly available websites. A major cultural shift toward availability results.,,,,,,culture,
1994,,,,,,,,,AOHell released,"AOHell is released, a freeware application that allows a burgeoning community of unskilled script kiddies to wreak havoc on America Online. For days, hundreds of thousands of AOL users find their mailboxes flooded with multi-megabyte email bombs and their chat rooms disrupted with spam messages. This makes way for the age of easily accessible hacks, and gives way to ""script kiddies""",https://upload.wikimedia.org/wikipedia/en/8/86/Screenshot_of_AOHell.jpg,,,https://upload.wikimedia.org/wikipedia/en/8/86/Screenshot_of_AOHell.jpg,,tool,#333333
1994,12,27,,,,,,,Mitnick calls Shimomura,"Kevin Mitnick prank calls the FBI agent trackig him, Tsutomu Shimomura, telling him ""my kung fu is stronger than yours"". This becomes a popular 90's hacker meme.",,,,,,culture,
1995,7,25,,,,,,,The Net is released,,,,,,,culture,#333333
1995,9,15,,,,,,,Hackers is released,,,,,,,culture,
1995,,,,,,,,,dlcwest.com defaced,"The Canadian ISP dlcwest.com is hacked and website replaced with a graphic and the caption ""You've been hacked MOFO""",,,,,,defacement,#333333
1995,2,22,,,,,,,FBI phone masters raid,,,,,,,law,
1996,8,,,1996,12,,,,US Government Web Defacements,,,,,,era,defacement,
1996,8,,,,,,,,DOJ website defacement,,,,,,,defacement,#333333
1996,10,,,,,,,,CIA website defacement,,,,,,title,defacement,
1996,12,,,,,,,,USAF website defacement,,,,,,title,defacement,#333333
1996,,,,,,,,,Brotherhood of warez owns CBC,"Canadian hacker group, Brotherhood of Warez, breaks into the Canadian Broadcasting Corporation.",,,,,title,hack,
1996,,,,,,,,,FizzleB/Peanut arrested,"Arizona hacker, John Sabo A.K.A FizzleB/Peanut, was arrested for hacking Canadian ISP dlcwest.com claiming the company was defrauding customers through over billing",,,,,title,law,#333333
1996,,,,,,,,,GAO report on DoD hacks,"The US general accounting office reports that hackers attempted to break into Defense Department computer files some 250,000 times in 1995 alone with a success rate of about 65% and doubling annually.",,,,,,government,
1996,,,,,,,,,"""cryptovirology"" is born",Cryptovirology is born with the invention of the cryptoviral extortion protocol that would later form the basis of modern ransomware,,,,,,tech,#333333
1997,,,,,,,,,USAF Guam breach,A 16-year-old Croatian youth penetrates computers at a U.S. Air Force base in Guam.,,,,,,hack/government,
1997,6,,,,,,,,Eligible Receiver 97 ,Eligible Receiver 97 tests the American government's readiness against cyberattacks,,,,,,government,#333333
1997,,,,,,,,,Windows NT hacked,First high-profile hack of Windows NT OS,,,,,,hack,
1998,1,,,,,,,,Yahoo! logic bomb,"Yahoo! notifies Internet users that anyone visiting its site in the past month might have downloaded a logic bomb and worm planted by hackers claiming a ""logic bomb"" will go off if computer hacker Kevin Mitnick is not released from prison",,,,,,hack,#333333
1998,2,,,,,,,,DNSSEC proposed,ISC proposes DNSSEC to protect DNS servers,,,,,,tech,
1998,5,19,,,,,,,L0pht congressional testimony,7 members of L0pht testify to US Government Affairs committee on weak computer security in government. This becomes a turning point for how the US government treats hacks and hackers,,,,,,government,#333333
1998,9,,,,,,,,Electronic Disturbance Theater pentagon hack,"Electronic Disturbance Theater, an online political performance-art group, attacks the websites of The Pentagon, Mexican president Ernesto Zedillo, and the Frankfurt Stock Exchange, calling it conceptual art and claiming it to be a protest against the suppression of the Zapatista Army of National Liberation in southern Mexico. EDT uses the FloodNet software to bombard its opponents with access requests",,,,,,culture,
1998,10,,,,,,,,National Infrastructure Protection Center created,U.S. Attorney General Janet Reno announces National Infrastructure Protection Center,,,,,,government,#333333
1999,,,,,,,,,Windows 98 released,"Software security goes mainstream In the wake of Microsoft's Windows 98 release, 1999 becomes a banner year for security (and hacking). Hundreds of advisories and patches are released in response to newfound (and widely publicized) bugs in Windows and other commercial software products. A host of security software vendors release anti-hacking products for use on home computers.",,,,,,tech,
1999,,,,,,,,,government computer security initiative,U.S. President Bill Clinton announces a $1.46 billion initiative to improve government computer security. The plan would establish a network of intrusion detection monitors for certain federal agencies and encourage the private sector to do the same,,,,,,government,#333333
1999,1,7,,,,,,,"LoU declares ""war"" on Iraq & PRC","The ""Legion of the Underground"" (LoU) declares ""war"" against the governments of Iraq and the People's Republic of China. An international coalition of hackers (including Cult of the Dead Cow, 2600's staff, Phrack's staff, L0pht, and the Chaos Computer Club) issued a joint statement (CRD 990107 - Hackers on planet earth against infowar) condemning the LoU's declaration of war. The LoU responded by withdrawing its declaration",,,,,,culture,
1999,3,,,,,,,,Melissa worm released,The Melissa worm is released and quickly becomes the most costly malware outbreak to date.,,,,,,tool,#333333
1998,8,3,,,,,,,CDC releases the original BO,Cult of the Dead Cow releases Back Orifice at DEF CON,,,,,,tool,
1999,8,,,,,,,,Mitnick sentenced,Kevin Mitnick is sentenced to 5 years in prison,,,,,,law,#333333
1999,9,,,,,,,,level seven hacks DoS,"Level Seven Crew hacks the US Embassy in China's website and places racist, anti-government slogans on embassy site in regards to 1998 US embassy bombings. This is an example of nationalist-motivated hacks of the 1990s",,,,,,culture,
1999,9,16,,,,,,,Phone Masters sentenced,DoJ sentences the Phone Masters.,,,,,,law,#333333
1999,10,,,,,,,,American Express introduces chip-based card,"American Express introduces the ""Blue"" smart card, the industry's first chip-based credit card in the US. This represents a business adaptation to cyber threats",,,,,,tech,
1999,11,17,,,,,,,Amtrak trains stopped over Y2k,A hacker goes on Coast to Coast to expose an al-Qaeda plot to derail Amtrak trains. Amtrak stops all trains as a safety precaution. (this is somehow also related to Y2K),,,,,,milestone,#333333
2000,5,6,,,,,,,ILOVEYOU worm,"The ILOVEYOU worm, also known as VBS/Loveletter and Love Bug worm, is a computer worm written in VBScript. It infected millions of computers worldwide within a few hours of its release. It is considered to be one of the most damaging worms ever. It originated in the Philippines; made by an AMA Computer College student Onel de Guzman for his thesis",,,,,,tool,
2000,9,,,,,,,,Jonathan James sentenced,Jonathan James becomres the first juvenile to serve jailtime for hacking,,,,,,law,#333333
2001,,,,,,,,,Microsoft DNS attacks,Microsoft is impacted by a DNS poisoning attack,,,,,,hack,
2001,2,11,,,,,,,Anna Kournikova virus released,"A Dutch cracker releases the Anna Kournikova virus, initiating a wave of viruses that tempts users to open the infected attachment by promising a sexy picture of the Russian tennis star",,,,,,tool,#333333
2001,4,,,,,,,,FBI socially engineers Russian crackers,FBI agents trick two Russian crackers into coming to the U.S. and revealing how they were hacking U.S. banks,,,,,,law,
2001,1,,,,,,,,DEF CON arrest,Russian programmer Dmitry Sklyarov is arrested at the annual DEF CON hacker convention. He was the first person criminally charged with violating the Digital Millennium Copyright Act (DMCA),,,,,,law,#333333
2001,8,,,,,,,,Code Red worm released,,,,,,,tool,
2001,,,,,,,,,Natioanl Cyber Security Alliance established,NCSA is established in response to September 11th attacks,,,,,,government,#333333
2002,1,,,,,,,,Microsoft QC effort,"In response to several high-profile hacks of Microsoft products, Bill Gates decrees that Microsoft will secure its products and services, and kicks off a massive internal training and quality control campaign.",,,,,,tech,
2002,3,,,,,,,,Gary McKinnon arrested,Gary McKinnon is arrested following unauthorized access to US military and NASA computers,,,,,,law,#333333
2002,5,,,,,,,,Klez.H discovered,"Klez.H, a variant of the worm discovered in November 2001, becomes the biggest malware outbreak in terms of machines infected, but causes little monetary damage",,,,,,tool,
2002,6,,,,,,,,Bush admin creates DHS,"DHS is created, and becomes responsible for protection of US critical national IT infrastructure",,,,,,government,#333333
2002,8,,,,,,,,"""Shatter attacks"" paper published","Researcher Chris Paget publishes a paper describing ""shatter attacks"" which raise additional questions about the securability of Windows operating system",,,,,,publication,
2002,10,,,,,,,,10k CISSPs,"ISC2 confers its 10,000th CISSP certification",,,,,,milestone,#333333
2003,,,,,,,,,Anonymous formed,"The hacktivist group ""Anonymous"" is formed online",,,,,,crew,
2003,3,,,,,,,,CDC and Hacktivismo export cryptography,Cult of the Dead Cow and Hacktivismo are given permission by the United States Department of Commerce to export software utilizing strong encryption,,,,,,government,#333333
2004,3,,,,,,,,New Zealand government website defaced,New Zealand's Government (National Party) website defaced by hacktivist group BlackMask,,,,,,hack/government,
2004,7,,,,,,,,North Korea claims to train 500 hackers,North Korea makes claims about training 500 hackers to attack their national enemies,,,,,,government,#333333
2004,10,,,,,,,,National Cybersecurity Awareness Month launched,National Cyber Security Awareness Month was launched by the National Cyber Security Alliance and U.S. Department of Homeland Security solving cybersecurity once and for all.,,,,,,milestone,
2005,4,2,,,,,,,Rafael Nunez arrested,"Rafael Núñez (aka RaFa), a notorious member of the hacking group World of Hell, is arrested following his arrival at Miami International Airport for breaking into the Defense Information Systems Agency computer system in June 2001",,,,,,law,#333333
2005,9,13,,,,,,,Cameron Lacroix sentenced,Cameron Lacroix is sentenced to 11 months for gaining access to T-Mobile's network and exploiting Paris Hilton's Sidekick,,,,,,law,
2005,11,3,,,,,,,Jeanson James Ancheta arrested,"Jeanson James Ancheta, whom prosecutors say was a member of the ""Botmaster Underground"", a group of script kiddies mostly noted for their excessive use of bot attacks and propagating vast amounts of spam, was taken into custody after being lured to FBI offices in Los Angeles",,,,,,law,#333333
2006,1,,,,,,,,Kama Sutra worm released,"One of the few worms to take after the old form of malware, destruction of data rather than the accumulation of zombie networks to launch attacks from, is discovered. It had various names, including Kama Sutra (used by most media reports), Black Worm, Mywife, Blackmal, Nyxem version D, Kapser, KillAV, Grew and CME-24. The worm would spread through e-mail client address books, and would search for documents and fill them with garbage, instead of deleting them to confuse the user. It would also hit a web page counter when it took control, allowing the programmer who created it as well as the world to track the progress of the worm. It would replace documents with random garbage on the third of every month. It was hyped by the media but actually affected relatively few computers, and was not a real threat for most users",,,,,,tool,
2006,5,,,,,,,,Jeanson James Ancheta sentenced,"Jeanson James Ancheta receives a 57-month prison sentence,[57] and is ordered to pay damages amounting to $15,000 to the Naval Air Warfare Center in China Lake and the Defense Information Systems Agency, for damage done due to DDoS attacks and hacking. Ancheta also had to forfeit his gains to the government, which include $60,000 in cash, a BMW, and computer equipment",,,,,,law,#333333
2006,5,,,,,,,,iSKORPiTX defacements,"The largest defacement in Web History as of that time is performed by the Turkish hacker iSKORPiTX who successfully hacked 21,549 websites in one shot",,,,,,defacement,
2006,7,,,,,,,,VoIP hackers sentenced,"Robert Moore and Edwin Pena were the first people to be charged by U.S. authorities for VoIP hacking. Robert Moore served 2 years in federal prison and was given $152,000 restitution. Once Edwin Pena was caught after fleeing the country, evading authorities for almost 2 years, he was sentenced to 10 years and given $1 million restitution",,,,,,law,#333333
2006,9,,,,,,,,DRM subversion tool FairUse4WM released,"Viodentia releases FairUse4WM tool which would remove DRM information off Windows Media Audio (WMA) files downloaded from music services such as Yahoo! Unlimited, Napster, Rhapsody Music and Urge",,,,,,tool,
2007,5,17,,,,,,,Estonia recovers from massive DoS attack,Estonia recovers from massive denial-of-service attack,,,,,,hack,#333333
2007,6,13,,,,,,,Operation Bot Roast,FBI Operation Bot Roast finds over 1 million botnet victims,,,,,,law,
